job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,python,sql,aws,spark,r,azure,tableau,java,snowflake,hadoop,power bi,job_skills_clean
Data Scientist,United States,True,Full-time,2023-04-24,95000.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['sql', 'python']"
Data Scientist,United States,False,Full-time,2023-08-05,206500.0,False,False,1,1,0,0,0,0,0,0,0,0,0,"['sql', 'python']"
Data Scientist,United States,False,Full-time,2023-04-25,140062.5,False,False,1,1,0,0,1,0,0,0,0,0,0,"['sas', 'sas', 'sql', 'python', 'r']"
Data Scientist,United States,False,Full-time,2023-05-27,101821.5,False,True,0,0,0,0,0,0,0,0,0,0,0,['express']
Data Engineer,United States,False,Full-time,2023-07-19,145000.0,True,False,1,0,1,1,1,1,0,1,1,1,0,"['python', 'r', 'java', 'azure', 'aws', 'snowflake', 'hadoop', 'kafka', 'spark']"
Data Engineer,United States,False,Full-time,2023-10-09,90000.0,False,False,0,0,0,0,0,0,0,0,0,0,0,['oracle']
Data Scientist,United States,True,Full-time,2023-02-13,75465.0,False,True,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql']"
Senior Data Engineer,United States,True,Full-time,2023-08-17,135000.0,False,True,1,0,1,0,0,0,0,0,0,0,0,"['python', 'aws', 'redshift', 'flow', 'terraform', 'ansible', 'puppet']"
Senior Data Engineer,United States,False,Full-time,2023-06-08,160000.0,False,True,0,1,1,0,0,0,0,1,0,0,0,"['java', 'sql', 'mongodb', 'mongodb', 'aws', 'redshift', 'aurora', 'node']"
Data Engineer,United States,False,Full-time,2023-03-28,177500.0,True,False,0,0,0,0,0,0,1,1,0,0,0,"['java', 'oracle', 'tableau', 'flow']"
Data Engineer,Sudan,False,Full-time,2023-05-30,125000.0,True,True,0,0,0,0,0,0,0,0,1,0,0,"['mysql', 'neo4j', 'snowflake']"
Senior Data Engineer,United States,False,Full-time,2023-07-18,131100.0,False,True,1,1,0,1,0,1,1,1,1,1,1,"['sql', 'python', 'java', 'scala', 'databricks', 'azure', 'snowflake', 'hadoop', 'spark', 'kafka', 'tableau', 'power bi', 'cognos', 'github']"
Data Scientist,United States,False,Full-time,2023-09-12,138640.0,False,True,1,1,0,0,1,0,0,0,0,0,0,"['python', 'r', 'sql', 'nosql', 'gitlab']"
Data Engineer,United States,True,Full-time,2023-04-25,150000.0,True,False,0,1,0,1,0,0,0,0,0,1,0,"['sql', 'hadoop', 'spark', 'kafka', 'flow']"
Senior Data Engineer,United States,False,Full-time,2023-02-26,173500.0,False,True,1,0,1,1,0,1,0,0,1,1,0,"['scala', 'python', 'nosql', 'mongo', 'shell', 'mysql', 'cassandra', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Data Engineer,India,False,Full-time,2023-05-26,147500.0,False,False,0,0,1,1,0,0,0,1,0,0,0,"['java', 'nosql', 'neo4j', 'redshift', 'aws', 'spring', 'spark', 'excel', 'jenkins']"
Senior Data Scientist,United States,True,Full-time,2023-05-03,170000.0,False,True,1,1,0,0,0,0,0,0,0,0,0,"['python', 'sql']"
Data Scientist,United States,True,Contractor,2023-01-01,113000.0,False,False,1,0,1,0,1,1,1,0,0,0,1,"['python', 'r', 'azure', 'databricks', 'aws', 'tableau', 'power bi']"
Data Scientist,United States,False,Full-time,2023-04-17,140000.0,False,False,1,1,0,0,1,0,0,1,0,0,0,"['python', 'java', 'r', 'sas', 'sas', 'sql', 'sql server', 'db2', 'oracle']"
Senior Data Engineer,Bulgaria,False,Full-time,2023-12-09,170500.0,False,False,1,0,1,0,0,1,0,0,0,0,0,"['python', 'aws', 'azure', 'jupyter', 'numpy', 'pandas', 'keras', 'scikit-learn', 'tensorflow', 'pytorch', 'flask', 'django', 'fastapi', 'sap', 'docker', 'kubernetes', 'github']"
Data Scientist,Vietnam,False,Full-time,2023-01-06,50400.0,False,False,0,0,0,1,0,0,0,1,0,1,0,"['java', 'hadoop', 'spark', 'unix', 'sap', 'yarn']"
Senior Data Engineer,Sudan,True,Full-time,2023-06-16,140000.0,False,True,0,1,1,0,0,1,0,0,1,0,0,"['sql', 'azure', 'snowflake', 'databricks', 'aws']"
Data Scientist,United States,False,Full-time,2023-12-29,195500.0,False,False,1,0,1,1,1,1,0,1,0,0,0,"['python', 'r', 'c#', 'java', 'go', 'azure', 'databricks', 'gcp', 'aws', 'spark']"
Data Engineer,United States,True,Full-time,2023-03-10,140000.0,False,True,1,0,1,1,0,0,0,1,0,0,0,"['java', 'python', 'elasticsearch', 'aws', 'redshift', 'spark', 'airflow', 'linux', 'docker']"
Senior Data Engineer,United States,True,Full-time,2023-02-08,107000.0,False,True,1,1,0,0,1,0,0,1,0,1,0,"['r', 'java', 'c#', 'python', 'perl', 'scala', 'sql', 'hadoop']"
Senior Data Scientist,United States,False,Full-time,2023-03-06,172500.0,False,True,1,0,0,0,0,0,0,0,0,0,0,['python']
Senior Data Engineer,India,False,Full-time,2023-07-07,79200.0,False,False,1,1,0,1,0,1,1,0,0,1,0,"['sql', 'perl', 'bash', 'groovy', 'python', 'shell', 'redis', 'azure', 'hadoop', 'spark', 'kafka', 'linux', 'centos', 'tableau', 'jenkins', 'docker', 'yarn', 'ansible', 'terraform', 'puppet']"
Data Engineer,Sudan,False,Full-time,2023-07-22,102000.0,False,True,1,1,1,1,0,1,1,1,0,0,1,"['python', 'scala', 'sql', 'c#', 'java', 'go', 'azure', 'aws', 'gcp', 'databricks', 'pyspark', 'spark', 'looker', 'tableau', 'qlik', 'power bi']"
