job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Data Analyst,United States,False,Full-time,2023-07-14,115000.0,False,True,0,0,1,0,0,0,"['vba', 'excel', 'word', 'powerpoint']"
Data Analyst,United States,False,Full-time,2023-07-31,115000.0,False,False,1,0,1,0,0,0,"['sql', 'sql server', 'excel']"
Senior Data Analyst,Austria,False,Full-time,2023-04-12,89100.0,True,False,1,1,0,0,0,0,"['sql', 'python', 'aws']"
Data Analyst,United States,False,Full-time,2023-07-14,110000.0,False,False,1,0,0,0,0,1,"['sql', 'power bi', 'ssrs', 'ssis']"
Data Analyst,United States,False,Full-time,2023-12-08,136793.0,False,False,0,0,1,0,0,0,"['crystal', 'ms access', 'excel']"
Data Analyst,India,False,Full-time,2023-03-15,50400.0,False,False,1,1,1,0,0,0,"['python', 'sql', 'aws', 'azure', 'excel', 'jenkins', 'git']"
Data Analyst,Hungary,False,Full-time,2023-01-20,56700.0,False,False,0,0,0,0,0,0,['sap']
Data Analyst,Taiwan,False,Full-time,2023-09-21,72500.0,False,False,0,0,0,0,0,0,['visual basic']
Data Analyst,United States,False,Full-time,2023-10-13,120000.0,False,True,1,1,0,1,0,0,"['python', 'sql', 'jupyter', 'tableau']"
Data Analyst,United States,False,Full-time,2023-03-28,127500.0,False,False,0,1,0,0,0,0,['python']
Data Analyst,France,False,Full-time,2023-02-14,111175.0,False,False,0,0,1,0,0,1,"['power bi', 'sharepoint', 'excel']"
Data Analyst,United States,False,Full-time,2023-12-18,52500.0,False,True,0,0,1,0,0,0,"['word', 'spreadsheet', 'excel']"
Business Analyst,United States,False,Contractor,2023-02-27,75000.0,False,False,1,1,0,1,1,0,"['sql', 'python', 'r', 'tableau']"
Data Analyst,Poland,False,Full-time,2023-05-29,72900.0,False,False,0,0,1,0,0,0,"['word', 'excel', 'powerpoint']"
Data Analyst,United States,False,Full-time,2023-12-19,90000.0,False,True,1,0,1,1,0,0,"['sql', 'excel', 'tableau', 'sap']"
Data Analyst,United States,False,Full-time,2023-08-29,70250.0,False,False,0,0,1,0,0,0,['excel']
Business Analyst,United Kingdom,False,Full-time,2023-04-12,90000.0,False,True,0,0,0,0,0,0,"['mysql', 'redis', 'windows', 'linux']"
Data Analyst,Netherlands,False,Full-time,2023-03-02,53014.0,False,False,1,1,0,0,0,0,"['sql', 'python']"
Data Analyst,United States,False,Full-time,2023-05-05,157500.0,False,True,0,1,1,1,0,0,"['python', 'snowflake', 'excel', 'powerpoint', 'tableau']"
Data Analyst,Estonia,False,Contractor,2023-06-27,56700.0,False,False,0,0,0,1,0,0,"['tableau', 'looker']"
Data Analyst,United States,False,Full-time,2023-03-14,155000.0,False,False,1,1,0,0,1,0,"['python', 'r', 'sql', 'sas', 'sas', 'qlik']"
Data Analyst,United States,False,Full-time,2023-09-29,90000.0,True,False,1,0,0,0,0,0,['sql']
Data Analyst,United States,False,Full-time,2023-11-05,175000.0,False,True,0,1,0,0,0,0,"['python', 'c++', 'hugging face', 'pytorch', 'tensorflow', 'pandas', 'numpy']"
Data Analyst,United Kingdom,True,Full-time,2023-06-23,100000.0,False,False,0,0,0,0,0,1,['power bi']
Data Analyst,Poland,False,Full-time,2023-07-25,111175.0,True,False,0,0,1,0,0,0,"['spark', 'excel']"
Data Analyst,United States,False,Full-time,2023-05-15,110000.0,True,True,1,1,1,0,0,0,"['sql', 'python', 'c#', 'powershell', 'sql server', 'word', 'excel', 'outlook']"
Senior Data Analyst,United States,False,Full-time,2023-05-30,115000.0,False,False,1,1,0,0,0,0,"['sql', 'python', 'snowflake', 'oracle', 'aws']"
Data Analyst,United States,True,Full-time,2023-09-16,132500.0,True,False,1,1,0,0,1,0,"['sql', 'r', 'python', 'sheets']"
Data Analyst,United States,False,Full-time,2023-05-25,75000.0,False,False,1,0,1,0,0,0,"['sql', 'word', 'powerpoint', 'excel', 'outlook', 'asana']"
Senior Data Analyst,United States,False,Full-time,2023-01-23,149000.0,True,True,1,1,0,0,1,0,"['sql', 'python', 'r']"
Data Analyst,United States,False,Contractor,2023-11-03,77000.0,False,True,1,0,1,0,0,0,"['sql', 'snowflake', 'excel']"
Business Analyst,United Kingdom,True,Full-time,2023-05-10,70000.0,True,False,0,0,1,0,0,1,"['excel', 'power bi']"
Data Analyst,United States,False,Full-time,2023-05-24,90000.0,False,True,1,1,1,0,0,0,"['sql', 'python', 'excel']"
